node_id,node_type,lon,lat,height,demand
0,pop,43.687461,21.1527363,50.0,8.937818
66,tbs,43.556999097719064,21.05595041736098,50.0,29.39833
67,tbs,43.601914861925046,21.05595041736098,50.0,5.879666
70,tbs,43.91632521136688,21.05595041736098,50.0,4.468909
71,tbs,43.556999097719064,21.09786125117092,50.0,2.939833
72,tbs,43.601914861925046,21.09786125117092,50.0,2.939833
73,tbs,43.64683062613102,21.09786125117092,50.0,17.875636
74,tbs,43.691746390336995,21.09786125117092,50.0,0.0
76,tbs,43.961240975572856,21.09786125117092,50.0,13.406727
78,tbs,43.601914861925046,21.13976026007302,50.0,4.468909
81,tbs,43.87140944716091,21.13976026007302,50.0,4.468909
82,tbs,43.91632521136688,21.13976026007302,50.0,4.468909
84,tbs,43.601914861925046,21.18164742500386,50.0,4.468909
86,tbs,43.691746390336995,21.18164742500386,50.0,4.468909
89,tbs,43.826493682954926,21.18164742500386,50.0,4.468909
90,tbs,43.87140944716091,21.18164742500386,50.0,4.468909
91,tbs,43.91632521136688,21.18164742500386,50.0,13.406727
96,tbs,43.78157791874895,21.223522726930717,50.0,26.813454
99,tbs,43.601914861925046,21.265386146851633,50.0,4.468909
102,tbs,43.826493682954926,21.265386146851633,50.0,8.937818
103,tbs,43.91632521136688,21.265386146851633,50.0,4.468909
106,tbs,43.601914861925046,21.307237665795395,50.0,4.468909
110,tbs,43.87140944716091,21.307237665795395,50.0,4.468909
111,tbs,43.91632521136688,21.307237665795395,50.0,4.468909
112,tbs,43.961240975572856,21.307237665795395,50.0,35.751272
113,tbs,43.556999097719064,21.34907726482161,50.0,8.937818
114,tbs,43.64683062613102,21.34907726482161,50.0,4.468909
117,tbs,43.91632521136688,21.34907726482161,50.0,8.937818
118,tbs,43.961240975572856,21.34907726482161,50.0,17.875636
119,tbs,43.556999097719064,21.39090492502068,50.0,49.157999
121,tbs,43.87140944716091,21.39090492502068,50.0,4.468909
123,tbs,43.961240975572856,21.39090492502068,50.0,147.473997
125,tbs,43.826493682954926,21.43272062751388,50.0,4.468909
126,tbs,43.87140944716091,21.43272062751388,50.0,8.937818
128,tbs,43.961240975572856,21.43272062751388,50.0,178.75636
130,tbs,43.87140944716091,21.474524353453365,50.0,13.406727
131,tbs,43.91632521136688,21.474524353453365,50.0,129.598361
132,tbs,43.961240975572856,21.474524353453365,50.0,147.473997
135,hap,43.691746390336995,21.34907726482161,10000.0,4.468909
